"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance","Referenced in"
"828.9108","006980832","Monograph","Language material ; Text","Volume","GB5102185","","","Fea, Allan","1860-1956","person","author","Fea, Allan, 1860-1956, author [person] ; Carroll, Lewis, 1832-1898 [person]","The latest adventures in Wonderland","Alice's adventures in Wonderland","","","England","London","Becks","1950","","47 pages, illustrations, 26 cm","12332.d.44","Carroll, Lewis, 1832-1898--Parodies, imitations, etc","","English","","",""
"828.9108","011573793","Monograph","Language material ; Text","Volume","GB6107861","","","Debenham, Frank","1883-1965","person","author","Debenham, Frank, 1883-1965, author [person] ; Scarisbrick, Anne, illustrator [person]","Navigation with Alice","","","","England","London","Hodder & Stoughton","1961","","160 pages, illustrations, 20 cm","8810.e.5 ; W23/8006","Navigation ; Carroll, Lewis, 1832-1898 ; Carroll, Lewis, 1832-1898--Parodies, imitations, etc ; Tenniel, John, 1820-1914--Parodies, imitations, etc","Parody","English","'The illustrations ... owe their inspiration to Tenniel'--Page [6] ; An intriguing combination of Alice in Wonderland and instruction in navigation. Cf. Dust jacket","",""
"828.91207","018263829","Monograph","Language material ; Still image ; Text","Volume","GBB745464","","9781782011477","Saki","1870-1916","person","author","Saki, 1870-1916, author [person] ; Gould, F. Carruthers (Francis Carruthers), 1844-1925, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","The Westminster Alice : a political parody based on Lewis Carroll's Wonderland","Alice's adventures in Wonderland","","","Ireland","Portlaoise","Evertype","2017","Second edition","1 volume, black and white illustrations, 22 cm","","Parody ; Great Britain--Politics and government--Humor","Humour or satire","English","Previous edition: 2010","",""
"828.92","016716512","Monograph","Language material ; Still image ; Text","Volume","GBB5D6402","","9780992854003","Georghiou, Karen","1982-","person","author","Georghiou, Karen, 1982-, author [person]","Alice took a detour and other meanderings","","","","England","London","Rag Publishing","2014","","64 pages, black and white illustrations, 23 cm","YKL.2014.a.5100","Alice, (Fictitious character from Carroll)--Fiction ; Alice, (Fictitious character from Carroll)--Poetry","Fiction ; Poetry or verse","English","","",""
"830.7","014019072","Monograph","Language material ; Text","Volume","","","","Yuill, W. E.","","person","","Yuill, W. E. [person]","Malice in wonderland : contemporary satire in Western Germany","","Inaugural Lectures","","","","Nottingham University","1967","","18 pages","W12/4411 ; W22/1546","","","English","","",""
"833.914","008160174","Monograph","Language material ; Text","Volume","","","9783827002198","Dieckmann, Dorothea","1957-","person","author","Dieckmann, Dorothea, 1957-, author [person] ; Carroll, Lewis, 1832-1898 [person]","Belice im Männerland : eine wahre Geschichte","Alice's adventures in Wonderland","","","Germany","Berlin","","1997","","204 pages, 21 cm","YA.2000.a.18535","","","German","Tells the story of Alice's sister Belice who appears at the end of Lewis Carroll's Alice in Wonderland","",""
"838.9140809","009676993","Monograph","Language material ; Text","Volume","GB6719274","","","Yuill, William Edward","","person","","Yuill, William Edward [person]","Malice in Wonderland : contemporary satire in Western Germany","","Nottingham. University. Inaugural lectures-1967","","United Kingdom","","Nottingham University","1967","","18 pages, 21 cm","","","","English","","",""
"839.31309","012078325","Monograph","Language material ; Text","Volume","","","9789023435464","Matsier, Nicolaas","1945-","person","author","Matsier, Nicolaas, 1945-, author [person]","Alice in Verbazië","","","","Netherlands","Amsterdam","Bezige Bij","1996","","92 pages, 21 cm","YA.1996.a.21502","Carroll, Lewis, 1832-1898 ; English fiction--Children's stories","","Dutch","","",""
"843","014593014","Monograph","Language material ; Text","Volume","","","9782874158063","Châteaureynaud, Georges Olivier","","person","","Barrie, J. M. (James Matthew), 1860-1937 [person] ; Châteaureynaud, Georges Olivier [person] ; Carroll, Lewis, 1832-1898 [person] ; Collodi, Carlo, 1826-1890 [person]","De l'autre côté d'Alice","Alice's adventures in Wonderland ; Avventure di Pinocchio ; Peter Pan","Nouvelles","","Belgium","Bruxelles","Grand miroir","2007","","103 pages, 20 cm","YF.2009.a.20160","Short Stories","","French","","",""
"853.92","016761892","Monograph","Language material ; Still image ; Text","Volume","GBB466110","","9788854408203","Francia, Giada","","person","author","Adreani, Manuela, illustrator [person] ; Francia, Giada, author [person] ; Carroll, Lewis, 1832-1898 [person]","Alice in Wonderland","Alice nel paese delle maraviglie. English ; Alice's adventures in Wonderland","","","Italy","Novara","White Star","2014","","77 pages, colour illustrations, 37 cm","LC.31.b.14937","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","Translated from the Italian","",""
"853.92","018904739","Monograph","Language material ; Still image ; Text","Volume","GBB8A6473","","9788868606879","Trevisan, Irena","","person","author","Fabris, Nadia, illustrator [person] ; DelVino, SallyAnn, translator [person] ; Carroll, Lewis, 1832-1898 [person] ; Trevisan, Irena, author [person]","Alice in Wonderland","Alice's adventures in Wonderland","","","Italy","Schio ; Virgin Island","Sassi Junior","2018","","1 volume (unpaged), chiefly colour illustrations, 29 cm","YKL.2019.b.5663","Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile fiction ; Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Pictorial work","English","'Adaptation by Irena Trevisian ; translation by SallyAnn DelVino ; illustrations and laser design by Nadia Fabris'--Colophon ; Includes die-cut pages and cut-out on cover ; Translated from the Italian","",""
"853.92","019132723","Monograph","Language material ; Still image ; Text","Volume","GBB8L4397","","9788854413153","Cosanti, Francesca","1985-","person","artist","Cosanti, Francesca, 1985-, artist [person] ; Carroll, Lewis, 1832-1898 [person]","Alice in Wonderland","","","","Italy","Vercelli","White Star Kids","2018","","1 volume (unpaged), chiefly colour illustrations, 32 cm","","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","","",""
"863.64","010131639","Monograph","Language material ; Text","Volume","GBA2Y0261","","9781551641782 ; 9781551641799","Fischlin, Daniel","","person","","Fischlin, Daniel [person] ; Nandorfy, Martha, 1957- [person]","Eduardo Galeano : through the looking glass","","","","England","London ; Montréal","Black Rose","2002","","433 pages, illustrations, 24 cm","YC.2003.a.22001 ; m02/15622","Authors, Uruguayan--20th century--Biography ; Galeano, Eduardo, 1940-2015--Political and social views ; Galeano, Eduardo, 1940-2015--Criticism and interpretation","Biography","English","","",""
"889.34","019666210","Monograph","Language material ; Still image ; Text","Volume","GBC003133","","9781913060077","Papatheodoulou, Antōnēs","1977-","person","author","Papatheodoulou, Antōnēs, 1977-, author [person] ; Samartzē, Iris, artist [person] ; Carroll, Lewis, 1832-1898 [person]","Alice in Wonderland, or, Curiouser and curiouser","Alice in wonderland","Great little classics","","England","London","Faros","2020","","1 volume, chiefly colour illustrations, 24 cm","","Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile fiction","Children's fiction ; Pictorial work","English","Translated from the Greek","",""
"891.663","008320390","Monograph","Language material ; Text","Volume","GB5313410","","","Carroll, Lewis","1832-1898","person","author","Roberts, M. Selyf, translator [person] ; Carroll, Lewis, 1832-1898, author [person]","Anturiaethau Alys yng Ngwlad Hud","Alice's adventures in Wonderland. Welsh","","","Wales","Dinbych","Gwasg Gee","1953","Argraffiad 1","68 pages, 19 cm","12836.c.24","","","Welsh","","",""
"891.8635","012629872","Monograph","Language material ; Text","Volume","GB8039956","","9780706412642","Pavlín, J. (Jiří)","","person","illustrator","Pavlín, J. (Jiří), illustrator [person] ; Šeďa, G. (Gustav), illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Alice in Wonderland","Alice's adventures in Wonderland","Octopus pop-up picture stories","","England","London","Octopus","1980","","10 pages, colour illustrations, 21 x 22 cm","X.990/16666","Children's stories in Czech--1900---Texts ; Children's stories, Czech","","English","Cover title. - Text and colour illustrations on lining papers ; These illustrations originally published: with Czech text. Prague : Artia, 1975","",""
"892.709","015562190","Monograph","Language material ; Text","Volume","GBB064969","","9780415595537","Sallis, Eva","1964-","person","","Sallis, Eva, 1964- [person]","Sheherazade through the looking glass","","","","England","London","Routledge","2010","","1 volume, 24 cm","","Arabic literature--History and criticism","","English","Originally published: Richmond: Curzon, 1999","",""
"894.533","018837995","Monograph","Language material ; Still image ; Text","Volume","GBB872450","","9781782012078","Carroll, Lewis","1832-1898","person","author","T︠S︡ypanov, E. A. (Evgeniĭ Aleksandrovich), translator [person] ; Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Fet, Victor, editor [person] ; Elʹt︠s︡ova, Alëna, 1979-, translator [person]","Alice's adventures in Wonderland","Alice's adventures in Wonderland. Komi-Zyrian","","","Ireland","Portlaoise","Evertype","2018","","1 volume, black and white illustrations, 22 cm","","Alice, (Fictitious character from Carroll)--Fiction","Fantasy ; Fiction","Komi","Translated from the English","",""
"895.636","015433563","Monograph","Language material ; Text","Volume","GBA9B6331","","9781595822666","Hayano, Michiyo","","person","author","Hayano, Michiyo, author [person] ; Pop [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland","","The POP wonderland series","","United States of America","Milwaukie, Oregon","Dark Horse","2010","","39 pages, colour illustrations, 22 x 27 cm","LC.31.a.9659","Alice, (Fictitious character from Carroll)--Pictorial works--Juvenile fiction","Children's fiction ; Fantasy ; Pictorial work","English","","",""
"909.09749270827","008715634","Monograph","Language material ; Text","Volume","GB7926725","","9780002160377","Raban, Jonathan","1942-","person","","Raban, Jonathan, 1942- [person]","Arabia through the looking glass","","","","England","London","Collins","1979","","348 pages, 23 cm","T 33793 ; X.809/44568 ; YK.1986.a.476","Arab countries--Social conditions--1970-1979 ; Arab countries--Social life and customs","","English","","",""
"909.09749270827","009373796","Monograph","Language material ; Text","Volume","GB8023841","","9780006344384","Raban, Jonathan","1942-","person","","Raban, Jonathan, 1942- [person]","Arabia through the looking glass","","","","England","London","Fontana","1980","","348 pages, 18 cm","X.708/22430","Arab countries--Social conditions--ca 1978 ; Arab countries--Social life and customs","","English","Originally published: London : Collins, 1979","",""
"909.09749270827","009375859","Monograph","Language material ; Text","Volume","GB8410257","","9780006540229","Raban, Jonathan","1942-","person","","Raban, Jonathan, 1942- [person]","Arabia through the looking glass","","Flamingo","","England","London","Fontana","1983","","347 pages, 20 cm","X.808/39041","Arab countries--Social conditions--ca 1978 ; Arab countries--Social life and customs","","English","Originally published: London : Collins, 1979","",""
"909.09749270827","018830180","Monograph","Language material ; Text","Volume","GBB867379","","9781780601397","Raban, Jonathan","","person","author","Raban, Jonathan, author [person]","Arabia : through the looking glass","","","","England","London","Eland","2018","","1 volume","","Arab countries--Social conditions--20th century ; Arab countries--Social life and customs--20th century","","English","Additional physical form: ebook version. 9781780601496","",""
"909.09749270827","018893664","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB8A4225","","9781780601496","Raban, Jonathan","","person","author","Raban, Jonathan, author [person]","Arabia : through the looking glass","","","","England","London","Eland","2018","","1 online resource","ELD.DS.302324","Arab countries--Social conditions--20th century ; Arab countries--Social life and customs--20th century","","English","Additional physical form: Print version. 9781780601397","",""
